timestamp_index,PM1.0 (ug/m3),PM2.5 (ug/m3),PM4.0 (ug/m3),PM10.0 (ug/m3),PM Sensor Status,Temperature (Celsius),Relative Humidity (%),Device Status,hour,day,dayofweek,month
2023-03-23 00:00:00,10.25,11.0,11.0,11.0,0.0,30.78,68.0,0.0,0.0,23.0,3.0,3.0
2023-03-23 01:00:00,9.75,10.0,10.0,10.0,0.0,30.62,69.75,0.0,1.0,23.0,3.0,3.0
2023-03-23 02:00:00,11.0,11.75,11.75,11.75,0.0,30.55,70.75,0.0,2.0,23.0,3.0,3.0
2023-03-23 03:00:00,13.0,13.5,13.5,13.5,0.0,30.5,70.0,2.0,3.0,23.0,3.0,3.0
2023-03-23 04:00:00,18.5,19.75,19.75,19.75,0.0,30.3,71.0,0.0,4.0,23.0,3.0,3.0
2023-03-23 05:00:00,20.25,21.25,21.25,21.25,0.0,30.22,71.25,3.0,5.0,23.0,3.0,3.0
2023-03-23 06:00:00,22.67,23.67,23.67,23.67,0.0,30.97,69.0,2.67,6.0,23.0,3.0,3.0
2023-03-23 07:00:00,40.5,43.5,44.0,44.5,0.0,31.7,68.0,0.25,7.0,23.0,3.0,3.0
2023-03-23 08:00:00,24.25,25.5,25.75,25.75,0.0,33.2,66.25,1.0,8.0,23.0,3.0,3.0
2023-03-23 09:00:00,19.25,20.25,20.25,20.25,0.0,34.17,64.25,3.0,9.0,23.0,3.0,3.0
2023-03-23 10:00:00,16.0,17.0,17.0,17.0,0.0,35.7,60.25,2.0,10.0,23.0,3.0,3.0
2023-03-23 11:00:00,16.25,17.0,17.0,17.0,0.0,37.3,55.5,0.0,11.0,23.0,3.0,3.0
2023-03-23 12:00:00,12.5,12.75,12.75,13.25,0.0,37.42,55.0,1.0,12.0,23.0,3.0,3.0
2023-03-23 13:00:00,11.75,12.5,12.5,12.5,0.0,37.75,55.0,0.0,13.0,23.0,3.0,3.0
2023-03-23 14:00:00,8.2,8.6,8.6,8.6,0.0,37.37,54.8,0.8,14.0,23.0,3.0,3.0
2023-03-23 15:00:00,10.5,11.0,11.0,11.0,0.0,37.8,53.75,3.0,15.0,23.0,3.0,3.0
2023-03-23 16:00:00,12.25,12.75,12.75,12.75,0.0,36.1,58.25,0.0,16.0,23.0,3.0,3.0
2023-03-23 17:00:00,27.25,29.75,30.25,30.75,0.0,34.62,62.75,0.0,17.0,23.0,3.0,3.0
2023-03-23 18:00:00,13.1,13.95,14.15,14.35,0.0,33.74,63.95,1.25,18.0,23.0,3.0,3.0
2023-03-23 19:00:00,16.75,17.75,17.75,17.75,0.0,34.3,61.0,6.25,19.0,23.0,3.0,3.0
2023-03-23 20:00:00,22.5,23.75,23.75,23.75,4.0,33.88,61.75,7.0,20.0,23.0,3.0,3.0
2023-03-23 21:00:00,16.25,17.0,17.0,17.0,4.0,33.48,63.25,7.0,21.0,23.0,3.0,3.0
2023-03-23 22:00:00,15.75,16.75,16.75,16.75,0.0,32.65,65.75,4.0,22.0,23.0,3.0,3.0
2023-03-23 23:00:00,16.0,16.75,16.75,16.75,0.0,31.88,68.5,3.0,23.0,23.0,3.0,3.0
2023-03-24 00:00:00,18.75,20.0,20.0,20.0,0.0,31.98,68.0,6.0,0.0,24.0,4.0,3.0
2023-03-24 01:00:00,16.75,17.75,17.75,17.75,0.0,32.05,68.0,3.0,1.0,24.0,4.0,3.0
2023-03-24 02:00:00,16.25,17.25,17.25,17.25,0.0,32.0,68.5,4.0,2.0,24.0,4.0,3.0
2023-03-24 03:00:00,22.0,23.0,23.0,23.0,0.0,31.48,69.75,3.0,3.0,24.0,4.0,3.0
2023-03-24 04:00:00,20.0,21.25,21.25,21.25,0.0,31.8,68.5,4.0,4.0,24.0,4.0,3.0
2023-03-24 05:00:00,24.25,25.5,25.5,25.5,0.0,31.72,68.25,6.0,5.0,24.0,4.0,3.0
2023-03-24 06:00:00,25.0,26.0,26.0,26.0,0.0,31.85,67.75,4.0,6.0,24.0,4.0,3.0
2023-03-24 07:00:00,35.0,37.5,38.25,38.5,0.0,32.12,68.25,2.0,7.0,24.0,4.0,3.0
2023-03-24 08:00:00,24.0,25.0,25.25,25.25,0.0,33.2,67.5,2.0,8.0,24.0,4.0,3.0
2023-03-24 09:00:00,14.0,15.0,15.0,15.0,0.0,34.55,63.25,0.0,9.0,24.0,4.0,3.0
2023-03-24 10:00:00,11.4,12.15,12.15,12.15,0.0,34.66,62.05,1.05,10.0,24.0,4.0,3.0
2023-03-24 11:00:00,7.75,8.25,8.25,8.25,0.0,36.2,57.0,3.25,11.0,24.0,4.0,3.0
