timestamp_index,PM1.0 (ug/m3),PM2.5 (ug/m3),PM4.0 (ug/m3),PM10.0 (ug/m3),PM Sensor Status,Temperature (Celsius),Relative Humidity (%),Device Status,hour,day,dayofweek,month
2023-05-11 00:00:00,9.0,9.75,9.75,9.75,0.0,30.28,74.25,0.0,0.0,11.0,3.0,5.0
2023-05-11 01:00:00,8.0,8.5,8.75,8.75,0.0,30.2,73.75,0.0,1.0,11.0,3.0,5.0
2023-05-11 02:00:00,8.0,8.75,8.75,8.75,0.0,30.42,73.75,0.0,2.0,11.0,3.0,5.0
2023-05-11 03:00:00,8.5,8.75,8.75,8.75,0.0,30.38,73.75,0.0,3.0,11.0,3.0,5.0
2023-05-11 04:00:00,6.25,6.25,6.25,6.25,0.0,30.12,71.0,0.0,4.0,11.0,3.0,5.0
2023-05-11 05:00:00,6.33,6.67,6.67,6.67,0.0,30.37,69.67,0.0,5.0,11.0,3.0,5.0
2023-05-11 06:00:00,4.75,5.0,5.0,5.0,0.0,30.75,69.5,0.25,6.0,11.0,3.0,5.0
2023-05-11 07:00:00,5.75,6.25,6.25,6.25,0.0,31.48,68.0,0.0,7.0,11.0,3.0,5.0
2023-05-11 08:00:00,4.75,5.75,5.75,5.75,0.0,32.42,66.25,0.0,8.0,11.0,3.0,5.0
2023-05-11 09:00:00,11.5,12.25,12.75,13.25,0.0,32.65,65.5,0.0,9.0,11.0,3.0,5.0
2023-05-11 10:00:00,5.75,6.0,6.0,6.0,0.0,33.88,63.5,0.0,10.0,11.0,3.0,5.0
2023-05-11 11:00:00,6.0,6.0,6.0,6.0,0.0,35.2,61.75,0.0,11.0,11.0,3.0,5.0
2023-05-11 12:00:00,6.0,6.5,6.5,6.5,0.0,36.0,60.25,2.0,12.0,11.0,3.0,5.0
2023-05-11 13:00:00,8.5,8.75,8.75,8.75,0.0,36.62,59.25,3.0,13.0,11.0,3.0,5.0
2023-05-11 14:00:00,7.0,7.25,7.25,7.25,0.0,36.5,59.25,0.0,14.0,11.0,3.0,5.0
2023-05-11 15:00:00,5.5,6.0,6.0,6.0,0.0,36.5,58.5,0.0,15.0,11.0,3.0,5.0
2023-05-11 16:00:00,4.5,4.75,4.75,4.75,0.0,36.58,58.25,0.0,16.0,11.0,3.0,5.0
2023-05-11 17:00:00,7.5,8.0,8.0,8.0,0.0,33.85,61.25,0.0,17.0,11.0,3.0,5.0
2023-05-11 18:00:00,11.75,12.25,12.5,12.5,0.0,32.92,63.75,0.0,18.0,11.0,3.0,5.0
2023-05-11 19:00:00,4.25,4.75,4.75,4.75,0.0,32.38,62.75,2.0,19.0,11.0,3.0,5.0
2023-05-11 20:00:00,2.75,2.75,2.75,2.75,0.0,32.1,62.0,0.0,20.0,11.0,3.0,5.0
2023-05-11 21:00:00,2.25,2.5,2.5,2.5,0.0,32.02,61.5,0.0,21.0,11.0,3.0,5.0
2023-05-11 22:00:00,3.25,3.25,3.25,3.25,0.0,31.7,63.75,0.0,22.0,11.0,3.0,5.0
2023-05-11 23:00:00,2.75,2.75,3.0,3.0,0.0,31.6,65.75,0.0,23.0,11.0,3.0,5.0
2023-05-12 00:00:00,3.0,3.0,3.0,3.0,0.0,31.3,67.0,0.0,0.0,12.0,4.0,5.0
2023-05-12 01:00:00,3.0,3.0,3.0,3.0,0.0,31.15,68.25,0.0,1.0,12.0,4.0,5.0
2023-05-12 02:00:00,3.0,3.0,3.0,3.0,0.0,31.28,68.0,0.0,2.0,12.0,4.0,5.0
2023-05-12 03:00:00,3.0,3.0,3.0,3.0,4.0,31.2,68.75,4.0,3.0,12.0,4.0,5.0
2023-05-12 04:00:00,2.75,2.75,2.75,2.75,0.0,31.2,69.0,0.0,4.0,12.0,4.0,5.0
2023-05-12 05:00:00,2.5,2.5,2.5,2.5,0.0,30.98,69.5,0.0,5.0,12.0,4.0,5.0
2023-05-12 06:00:00,3.25,3.5,3.5,3.5,0.0,31.15,68.75,0.0,6.0,12.0,4.0,5.0
2023-05-12 07:00:00,4.5,4.75,4.75,4.75,0.0,32.35,66.5,0.0,7.0,12.0,4.0,5.0
2023-05-12 08:00:00,3.0,3.0,3.0,3.0,0.0,33.5,64.0,0.0,8.0,12.0,4.0,5.0
2023-05-12 09:00:00,3.0,3.25,3.25,3.25,0.0,33.95,62.25,0.0,9.0,12.0,4.0,5.0
2023-05-12 10:00:00,7.0,13.0,17.75,20.25,0.0,34.92,60.75,0.0,10.0,12.0,4.0,5.0
2023-05-12 11:00:00,4.0,4.0,4.25,4.25,0.0,35.33,58.0,0.0,11.0,12.0,4.0,5.0
2023-05-12 12:00:00,6.75,7.25,7.25,7.25,0.0,36.05,57.0,0.0,12.0,12.0,4.0,5.0
2023-05-12 13:00:00,7.0,7.25,7.25,7.25,0.0,35.67,57.75,0.0,13.0,12.0,4.0,5.0
2023-05-12 14:00:00,9.75,10.0,10.0,10.0,0.0,36.5,56.25,2.0,14.0,12.0,4.0,5.0
2023-05-12 15:00:00,7.5,7.75,7.75,7.75,0.0,37.72,54.0,0.0,15.0,12.0,4.0,5.0
2023-05-12 16:00:00,7.75,8.0,8.0,8.0,0.0,37.28,55.25,2.0,16.0,12.0,4.0,5.0
2023-05-12 17:00:00,6.75,6.75,6.75,6.75,0.0,35.02,60.0,0.0,17.0,12.0,4.0,5.0
2023-05-12 18:00:00,4.0,4.0,4.0,4.0,0.0,33.75,61.75,2.0,18.0,12.0,4.0,5.0
2023-05-12 19:00:00,3.5,3.75,3.75,3.75,0.0,33.25,63.25,0.0,19.0,12.0,4.0,5.0
2023-05-12 20:00:00,2.25,2.5,2.5,2.5,0.0,32.67,62.75,0.0,20.0,12.0,4.0,5.0
2023-05-12 21:00:00,3.25,3.25,3.5,3.5,0.0,32.55,62.75,0.0,21.0,12.0,4.0,5.0
2023-05-12 22:00:00,2.0,2.0,2.0,2.0,0.0,32.38,63.0,0.0,22.0,12.0,4.0,5.0
2023-05-12 23:00:00,2.0,2.0,2.0,2.0,0.0,32.1,63.0,0.0,23.0,12.0,4.0,5.0
2023-05-13 00:00:00,1.75,2.0,2.0,2.0,0.0,32.08,63.5,0.0,0.0,13.0,5.0,5.0
2023-05-13 01:00:00,1.0,1.5,1.75,1.75,0.0,31.9,64.25,0.0,1.0,13.0,5.0,5.0
2023-05-13 02:00:00,1.0,1.0,1.75,1.75,0.0,31.55,66.5,0.0,2.0,13.0,5.0,5.0
2023-05-13 03:00:00,1.0,1.25,1.25,1.5,0.0,31.2,68.0,0.0,3.0,13.0,5.0,5.0
2023-05-13 04:00:00,1.0,1.0,1.0,1.0,0.0,31.12,68.0,0.0,4.0,13.0,5.0,5.0
2023-05-13 05:00:00,0.25,1.0,1.0,1.0,0.0,30.92,66.5,0.0,5.0,13.0,5.0,5.0
2023-05-13 06:00:00,1.0,1.0,1.0,1.0,0.0,31.05,66.5,0.0,6.0,13.0,5.0,5.0
2023-05-13 07:00:00,27.5,30.0,30.75,31.0,0.0,31.82,65.25,0.0,7.0,13.0,5.0,5.0
2023-05-13 08:00:00,2.25,2.5,2.5,2.5,0.0,33.1,63.0,0.0,8.0,13.0,5.0,5.0
2023-05-13 09:00:00,2.5,2.5,2.5,2.5,0.0,33.67,62.0,0.0,9.0,13.0,5.0,5.0
2023-05-13 10:00:00,2.25,2.25,2.25,2.25,0.0,34.58,59.0,0.0,10.0,13.0,5.0,5.0
2023-05-13 11:00:00,2.75,4.0,5.0,5.5,0.0,35.08,58.0,0.0,11.0,13.0,5.0,5.0
2023-05-13 12:00:00,2.5,3.0,3.0,3.0,0.0,35.48,56.25,0.0,12.0,13.0,5.0,5.0
2023-05-13 13:00:00,2.75,3.0,3.0,3.0,0.0,35.72,55.25,0.0,13.0,13.0,5.0,5.0
2023-05-13 14:00:00,3.25,3.25,3.25,3.25,0.0,36.25,54.75,0.0,14.0,13.0,5.0,5.0
2023-05-13 15:00:00,2.75,2.75,2.75,2.75,0.0,36.33,53.5,0.0,15.0,13.0,5.0,5.0
2023-05-13 16:00:00,13.0,13.75,13.75,13.75,0.0,38.25,50.75,0.0,16.0,13.0,5.0,5.0
2023-05-13 17:00:00,12.25,13.0,13.0,13.0,0.0,35.42,57.75,0.0,17.0,13.0,5.0,5.0
2023-05-13 18:00:00,10.0,10.5,10.5,10.5,0.0,34.08,59.5,0.0,18.0,13.0,5.0,5.0
2023-05-13 19:00:00,2.75,2.75,3.0,3.0,0.0,33.17,60.25,0.0,19.0,13.0,5.0,5.0
2023-05-13 20:00:00,1.5,1.5,1.5,1.5,0.0,32.7,61.25,0.0,20.0,13.0,5.0,5.0
2023-05-13 21:00:00,1.0,1.0,1.0,1.0,0.0,32.3,61.75,0.0,21.0,13.0,5.0,5.0
